sale_id,product_id,sale_date,quantity_sold,total_revenue
182,3097,26-08-2024,11,27346.77
183,2859,04-12-2024,94,231704.36
184,3840,09-10-2024,8,2117.76
185,2141,24-02-2024,97,130003.28
186,3932,03-08-2024,3,5960.43
187,3709,21-12-2024,35,170361.45
188,3739,07-01-2025,96,433798.08
189,3567,09-10-2024,86,38821.26
190,2596,15-07-2024,59,40799.09
191,338,02-05-2024,42,15590.4
192,1406,24-10-2024,76,501537.68
193,1432,23-05-2024,25,19821
194,4660,04-11-2024,19,64214.87
195,790,02-09-2024,31,13873.74
196,4946,29-09-2024,62,273821.14
197,4385,13-11-2024,52,16323.84
198,2702,24-08-2024,37,159868.49
199,1253,14-01-2025,15,36843.45
200,4338,16-10-2024,1,5515.97
201,2548,17-06-2024,100,33937
202,4957,29-11-2024,57,256807.8
203,1318,29-04-2024,61,325740.61
204,2590,10-07-2024,76,346015.84
205,3321,01-06-2024,14,3988.32
206,3395,18-06-2024,34,31635.3
207,3138,15-10-2024,12,31272.6
208,1994,24-06-2024,46,88856.36
209,4488,15-03-2024,66,41283
210,1870,20-12-2024,70,52142.3
211,4130,13-05-2024,83,789864.52
212,2649,27-06-2024,89,5551.82
213,1288,07-07-2024,70,213303.3
214,1286,14-04-2024,62,64368.4
215,4444,08-12-2024,58,40192.26
216,664,26-06-2024,3,3270.15
217,3069,07-05-2024,80,201254.4
218,4257,15-12-2024,88,147282.96
219,3481,18-12-2024,70,183175.3
220,4549,18-11-2024,41,42685.51
221,2524,24-02-2024,65,290135.3
222,3818,30-10-2024,27,25397.28
223,2101,12-06-2024,74,121698.92
224,1540,14-04-2024,66,118474.62
225,2590,19-12-2024,47,213983.48
226,4087,26-02-2024,76,15757.84
227,3163,31-03-2024,75,618211.5
228,4378,28-03-2024,67,4467.56
229,4915,07-08-2024,77,28178.15
230,2067,07-05-2024,39,311673.57
231,3361,24-03-2024,30,106762.5
232,2198,08-12-2024,78,37156.86
233,707,03-01-2025,84,721134.12
234,2585,21-08-2024,2,12749.78
235,416,25-03-2024,69,53775.15
236,3118,04-02-2024,62,99191.32
237,1091,17-02-2024,30,63092.4
238,278,08-01-2025,94,13269.98
239,4582,23-08-2024,52,108579.12
240,2300,08-12-2024,95,228836
241,228,17-02-2024,25,18849.5
242,2040,29-08-2024,74,25640.26
243,959,14-11-2024,98,244260.1
244,1347,12-06-2024,38,7500.06
245,2713,31-05-2024,35,265847.75
246,542,01-04-2024,15,3834.15
247,1004,05-03-2024,86,535971.78
248,1725,04-03-2024,91,206386.18
249,3598,07-01-2025,98,124733.42
250,3339,29-06-2024,11,77912.78
251,2403,31-01-2024,66,45533.4
252,3371,22-02-2024,92,143177.76
253,4624,30-03-2024,81,123607.62
254,3803,13-09-2024,37,81441.07
255,1976,28-01-2024,16,2037.44
256,3118,19-06-2024,11,17598.46
257,3059,21-11-2024,17,146988.63
258,1381,27-08-2024,92,234564.12
259,2231,09-12-2024,8,13078.88
260,3970,13-08-2024,4,10025
261,3173,07-02-2024,13,25010.7
262,1737,29-08-2024,84,389130
263,2192,27-06-2024,84,5982.48
264,851,26-12-2024,65,438511.45
265,182,14-03-2024,98,19074.72
266,3739,26-08-2024,48,216899.04
267,2681,15-11-2024,88,157842.96
268,3246,26-09-2024,51,48103.2
269,2681,23-05-2024,93,166811.31
270,330,22-07-2024,56,9379.44
271,4683,22-04-2024,96,259593.6
272,3975,28-01-2024,90,226548.9
273,1072,04-05-2024,17,90733.25
274,579,24-12-2024,96,287856.96
275,310,13-05-2024,76,27245.24
276,3097,12-08-2024,59,146678.13
277,3416,28-01-2024,14,3082.66
278,3833,12-09-2024,83,55795.09
279,1861,29-07-2024,99,25711.29
280,1857,17-04-2024,72,164628.72
281,2146,26-01-2024,27,11935.35
282,1236,23-09-2024,87,113301.84
283,618,03-12-2024,59,106156.34
284,565,16-04-2024,73,630302.44
285,4525,17-03-2024,51,126445.83
286,1817,18-11-2024,31,14765.61
287,545,15-09-2024,85,239214.65
288,3532,25-12-2024,84,4866.96
289,4241,25-04-2024,14,5503.26
290,1491,18-12-2024,83,391642.97
291,1180,31-07-2024,9,18774.18
292,2937,22-12-2024,60,14218.2
293,3900,13-12-2024,60,461599.2
294,4161,07-01-2025,84,12011.16
295,402,23-04-2024,88,14274.48
296,2041,15-03-2024,45,42151.5
297,4917,04-03-2024,83,18796.18
298,4087,03-02-2024,12,2488.08
299,612,01-01-2025,3,658.68
300,921,05-10-2024,8,19884.32
301,4385,09-07-2024,54,16951.68
302,96,02-01-2025,68,449429.68
303,783,21-04-2024,66,23279.52
304,3231,30-05-2024,93,74367.45
305,3434,30-05-2024,82,189025.58
306,4350,18-09-2024,27,13648.5
307,3239,11-01-2025,47,45065.48
308,3496,11-04-2024,78,460178.16
309,4239,25-08-2024,76,252460.6
310,579,25-09-2024,49,146926.99
311,4478,16-11-2024,78,254528.82
312,2195,15-10-2024,28,85841
313,769,02-04-2024,96,142947.84
314,1446,18-04-2024,13,17568.98
315,1676,24-04-2024,29,88898.92
316,3957,08-07-2024,10,16243.5
317,2615,17-10-2024,41,47982.3
318,3417,25-06-2024,91,78105.3
319,2383,22-07-2024,37,36426.13
320,976,03-05-2024,78,150154.68
321,3080,16-02-2024,43,131280.72
322,1535,04-03-2024,30,286483.2
323,2585,31-10-2024,53,337869.17
324,1710,14-09-2024,95,171693.5
325,4264,13-01-2025,14,44265.62
326,99,25-06-2024,92,40545.32
327,3855,30-01-2024,73,46348.43
328,2722,11-05-2024,12,64516.32
329,2870,14-12-2024,69,497871.57
330,1651,21-08-2024,93,113809.68
331,3885,26-08-2024,28,3717.56
332,1043,26-11-2024,37,77182.74
333,768,14-10-2024,68,102292.4
334,55,02-08-2024,56,271161.52
335,1567,03-04-2024,71,184823.65
336,1051,21-12-2024,65,12890.8
337,847,29-06-2024,10,18542
338,3145,17-03-2024,21,4397.19
339,487,18-08-2024,53,25866.65
340,2177,21-06-2024,26,57323.24
341,3563,26-08-2024,43,114308.19
342,2436,17-11-2024,35,99528.1
343,3454,29-08-2024,76,531261.28
344,3928,14-09-2024,90,574136.1
345,2601,29-02-2024,16,46619.52
346,2979,09-06-2024,50,6035.5
347,2025,14-11-2024,84,53124.12
348,3463,24-08-2024,54,327259.98
349,1316,09-08-2024,4,12716.92
350,502,04-08-2024,59,83127.46
351,2153,17-05-2024,76,152271.32
352,509,06-08-2024,36,96249.6
353,2104,22-12-2024,49,58497.18
354,286,03-04-2024,63,85788.99
355,1494,24-05-2024,95,30378.15
356,3473,01-10-2024,48,293847.84
357,4867,10-06-2024,34,245370.18
358,694,01-12-2024,46,364860.96
359,1511,04-11-2024,8,27092.72
360,4084,15-10-2024,71,422660.87
361,1390,23-09-2024,81,799651.44
362,4125,20-09-2024,65,11865.1
363,4647,08-05-2024,47,41536.72
364,4935,15-07-2024,74,432463.4
365,1005,16-08-2024,42,163999.5
366,4898,09-09-2024,8,55056.56
367,594,23-02-2024,57,225205.29
368,293,21-09-2024,46,413396.94
369,1437,03-06-2024,27,37443.87
370,4496,23-05-2024,80,286571.2
371,1218,18-09-2024,100,149310
372,926,17-11-2024,75,159328.5
373,4397,26-01-2024,71,613700.57
374,3607,16-01-2025,36,133032.96
375,3999,28-05-2024,67,25133.04
376,4976,05-05-2024,6,819.66
377,1945,23-07-2024,29,128772.76
378,641,10-03-2024,58,66759.16
379,3115,19-09-2024,86,30360.58
380,4973,05-04-2024,46,101002.66
381,3757,24-12-2024,36,14975.64
382,1579,11-05-2024,89,300184.54
383,760,07-02-2024,75,174379.5
384,229,18-10-2024,1,3737.11
385,1399,23-06-2024,98,204466.22
386,4486,13-08-2024,9,62117.46
387,3462,05-02-2024,72,306902.16
388,604,06-09-2024,51,68802.57
389,3264,29-03-2024,94,28373.9
390,2443,25-01-2024,37,16498.3
391,2842,28-05-2024,77,123094.51
392,3814,01-05-2024,62,156837.06
393,1322,20-01-2024,64,277928.32
394,3695,01-04-2024,44,21299.08
395,4884,11-04-2024,89,813018.56
396,1508,01-10-2024,68,24256.28
397,4163,04-04-2024,41,152250.63
398,3268,20-01-2024,23,138254.38
399,4841,16-10-2024,32,131866.24
400,3476,14-10-2024,63,164852.73
401,3057,14-04-2024,40,43392.8
402,2588,29-01-2024,59,222761.58
403,1384,31-08-2024,46,428564.52
404,1995,03-08-2024,88,506058.08
405,1532,09-03-2024,59,171120.06
406,680,17-02-2024,85,281483.45
407,2762,29-04-2024,13,116803.96
408,2234,02-08-2024,87,32452.74
409,780,27-08-2024,37,105985.39
410,4901,26-03-2024,40,4935.6
411,4830,05-01-2025,1,1176.13
412,983,18-12-2024,19,33929.06
413,590,28-06-2024,100,286284
414,3480,26-07-2024,47,139997.49
415,1210,15-10-2024,44,226890.4
416,1968,11-07-2024,89,21988.34
417,3008,19-01-2024,70,201315.1
418,2122,10-07-2024,19,127310.64
419,2953,30-07-2024,59,560442.18
420,3930,24-06-2024,58,18267.68
421,4201,04-07-2024,57,465120.57
422,273,12-05-2024,36,273153.6
423,4186,26-09-2024,37,181132.76
424,3955,31-10-2024,76,68358.96
425,1138,09-05-2024,39,161954.52
426,1348,04-06-2024,61,11624.16
427,2986,17-01-2025,33,41128.23
428,1260,15-03-2024,5,6638.6
429,3527,13-09-2024,45,346366.8
430,4609,04-04-2024,76,98786.32
431,3118,24-12-2024,72,115189.92
432,3797,26-10-2024,54,203782.5
433,697,12-10-2024,65,120563.95
434,3245,07-03-2024,75,11031.75
435,1073,25-11-2024,89,804219.13
436,4633,02-04-2024,13,35752.08
437,1834,15-09-2024,16,34810.88
438,4336,01-06-2024,63,325108.98
439,2735,21-03-2024,61,57970.13
440,4456,06-05-2024,82,191100.18
441,4378,22-06-2024,58,3867.44
442,1395,28-07-2024,45,10890.9
443,940,25-08-2024,30,145985.4
444,4453,21-09-2024,42,127716.12
445,891,18-04-2024,6,26151
446,3574,30-08-2024,26,20093.84
447,652,23-04-2024,1,1826.43
448,3759,28-05-2024,80,19108
449,3335,04-12-2024,63,21106.89
450,3138,03-03-2024,70,182423.5
451,972,09-01-2025,32,4424.32
452,1663,09-12-2024,52,105944.28
453,1350,30-06-2024,3,17056.56
454,3296,26-04-2024,8,1682.08
455,4034,20-01-2024,45,175105.35
456,4691,21-02-2024,76,209313.12
457,286,19-05-2024,61,83065.53
458,4204,07-07-2024,59,53974.38
459,3685,13-07-2024,31,32259.84
460,4119,20-01-2024,43,108962.86
461,2018,30-07-2024,1,2486.76
462,1905,05-11-2024,92,312343.68
463,4396,27-02-2024,2,170.04
464,791,02-01-2025,50,95028.5
465,159,01-03-2024,1,1642.35
466,2238,04-03-2024,93,307934.16
467,4176,18-08-2024,5,16008.75
468,340,28-10-2024,76,431694.44
469,1574,10-10-2024,35,293673.8
470,1777,29-01-2024,16,53466.08
471,337,12-03-2024,68,305931.32
472,3160,10-09-2024,86,262489.2
473,632,03-07-2024,2,1872
474,4447,24-05-2024,51,60497.73
475,4137,12-08-2024,13,11680.89
476,2425,23-05-2024,67,23483.5
477,3464,10-10-2024,36,18534.96
478,3268,28-09-2024,12,72132.72
479,4101,02-01-2025,52,11769.16
480,4252,16-08-2024,90,27341.1
481,356,02-08-2024,32,46534.72
482,610,19-09-2024,89,742134.51
483,1424,19-09-2024,41,6427.57
484,2012,05-04-2024,89,708386.6
485,276,10-02-2024,76,29436.32
486,1900,22-11-2024,33,298075.47
487,4381,17-10-2024,93,222454.14
488,2501,02-10-2024,9,21323.52
489,1125,05-07-2024,3,16314.93
490,1413,23-03-2024,14,38013.08
491,4045,03-04-2024,7,7795.27
492,990,23-03-2024,8,17804.96
493,1913,09-02-2024,44,234237.08
494,2941,24-06-2024,49,3961.65
495,3858,13-02-2024,20,1616.8
496,234,07-01-2025,79,25912
497,787,03-12-2024,30,49911.3
498,229,17-09-2024,56,209278.16
499,4375,29-07-2024,12,55799.04
500,2869,14-01-2025,98,21386.54
501,4453,24-09-2024,80,243268.8
502,3698,24-08-2024,13,31801.12
503,4029,12-07-2024,19,30039.95
504,1033,04-02-2024,30,143110.8
505,1015,17-12-2024,12,98612.64
506,3706,04-03-2024,34,16796.34
507,4892,01-04-2024,58,45958.62
508,458,16-10-2024,16,34448.96
509,3065,31-03-2024,41,396252.7
510,2948,10-09-2024,75,13647
511,2944,06-10-2024,65,31845.45
512,74,17-07-2024,12,3692.28
513,3310,15-12-2024,43,188773.87
514,2347,27-11-2024,7,3461.57
515,2621,24-03-2024,20,149260.4
516,655,07-04-2024,92,303864.04
517,698,09-07-2024,82,366359.6
518,1399,13-04-2024,72,150220.08
519,1007,15-01-2025,10,1093.4
520,2078,08-02-2024,88,493870.08
521,531,23-10-2024,83,545736.62
522,2116,27-10-2024,81,135491.94
523,2430,07-03-2024,96,81816
524,3376,16-03-2024,9,62375.67
525,4101,13-01-2025,73,16522.09
526,779,31-01-2024,79,329009.72
527,3676,05-10-2024,58,281132.38
528,802,23-12-2024,73,20093.25
529,2287,06-02-2024,39,225406.74
530,2547,20-10-2024,94,741404.32
531,2526,06-02-2024,20,147366.8
532,4222,15-08-2024,4,1225.32
533,3152,03-10-2024,71,675748.89
534,4090,24-01-2024,71,196307.19
535,2727,25-01-2024,86,8821.88
536,2009,11-10-2024,53,207875.54
537,384,07-11-2024,5,690.4
538,1399,31-05-2024,71,148133.69
539,3367,22-04-2024,15,112345.05
540,1268,11-12-2024,62,89420.74
541,4098,23-05-2024,20,9311.6
542,2019,27-07-2024,44,419760.44
543,3258,07-01-2025,13,35520.55
544,4615,08-12-2024,84,263226.6
545,627,07-07-2024,96,11920.32
546,2892,31-08-2024,3,1482.21
547,2800,28-09-2024,63,6281.73
548,3313,06-06-2024,28,52715.6
549,4300,22-02-2024,54,138100.14
550,2518,26-12-2024,33,32704.65
551,2528,12-04-2024,33,28603.74
552,4802,29-04-2024,65,247688.35
553,2491,30-09-2024,22,71308.82
554,3134,13-03-2024,20,147839.4
555,3244,03-09-2024,13,6302.14
556,4538,20-08-2024,100,112791
557,110,07-11-2024,7,17278.66
558,844,01-07-2024,82,363835.64
559,2897,15-02-2024,61,107657.68
560,1354,02-08-2024,2,4213.06
561,4004,26-02-2024,14,80748.78
562,1023,25-05-2024,48,427903.68
563,2894,19-06-2024,53,99376.59
564,4417,16-06-2024,74,42211.82
565,3297,26-07-2024,65,328019.9
566,973,12-08-2024,45,7990.2
567,972,07-09-2024,72,9954.72
568,1606,12-07-2024,17,1135.43
569,1791,02-01-2025,68,350807.24
570,491,17-10-2024,74,432851.16
571,4606,19-06-2024,80,10280
572,3934,07-11-2024,51,115576.2
573,1996,04-09-2024,12,69688.56
574,4794,11-06-2024,75,598017
575,2732,09-03-2024,65,129470.9
576,1768,27-02-2024,64,609381.12
577,3692,17-02-2024,71,512793.95
578,2080,07-07-2024,42,3054.66
579,4851,21-09-2024,56,357580.72
580,4241,25-07-2024,23,9041.07
581,399,03-06-2024,31,14820.17
582,1420,16-04-2024,88,112199.12
583,2574,31-12-2024,54,283501.62
584,3948,22-06-2024,33,101941.95
585,2466,24-10-2024,5,2293
586,177,03-08-2024,30,80526.6
587,2262,01-09-2024,16,933.28
588,3587,23-07-2024,54,93977.82
589,3574,07-11-2024,2,1545.68
590,662,12-09-2024,89,476494.43
591,2456,09-10-2024,37,249791.44
592,2008,27-03-2024,44,14004.32
593,2684,13-03-2024,35,150685.5
594,487,16-09-2024,85,41484.25
595,81,13-07-2024,24,109556.64
596,452,18-03-2024,67,401024.48
597,42,26-02-2024,58,220004.44
598,4225,21-04-2024,59,229917.69
599,4399,05-11-2024,12,55474.56
600,3542,14-10-2024,87,6295.32
601,1372,09-10-2024,79,24893.69
602,895,22-05-2024,11,19362.42
603,1694,27-04-2024,25,22872.25
604,219,11-04-2024,69,608119.77
605,1681,12-12-2024,68,10446.84
606,1933,30-09-2024,89,57579.44
607,1596,23-09-2024,51,133051.35
608,985,19-03-2024,80,306861.6
609,4179,08-02-2024,36,124777.8
610,1978,07-02-2024,37,293854.74
611,4322,12-07-2024,86,632226.42
612,2183,13-02-2024,63,139257.09
613,3972,22-08-2024,49,52248.7
614,3696,16-04-2024,65,364919.75
615,2212,12-01-2025,57,32281.38
616,2807,03-05-2024,46,54604.3
617,1886,27-10-2024,76,44995.8
618,4154,21-04-2024,89,278689.26
619,2500,12-10-2024,57,132140.82
620,349,05-06-2024,2,720.22
621,685,25-07-2024,98,457851.1
622,2132,09-12-2024,41,94036.78
623,3906,20-01-2024,6,15605.7
624,2527,06-06-2024,92,588689.6
625,4442,31-01-2024,60,550083.6
626,2074,04-11-2024,26,61328.54
627,4270,16-07-2024,44,70334.44
628,338,23-07-2024,48,17817.6
629,3502,14-01-2025,34,1796.9
630,4394,07-12-2024,95,24398.85
631,4472,11-05-2024,38,10702.32
632,4881,19-06-2024,12,109498.44
633,4386,15-03-2024,76,590091.36
634,2606,13-01-2025,52,166172.24
635,139,07-02-2024,51,209856.33
636,1736,26-08-2024,1,253.13
637,1207,11-06-2024,92,108774.36
638,292,11-01-2025,69,111268.02
639,2795,01-06-2024,19,144814.39
640,4981,02-06-2024,57,137860.77
641,583,25-12-2024,95,286794.55
642,760,27-10-2024,57,132528.42
643,1329,08-11-2024,60,80437.2
644,3814,14-09-2024,37,93596.31
645,4798,24-05-2024,57,140746.68
646,1799,29-05-2024,78,208686.66
647,2471,12-07-2024,26,6730.88
648,3626,27-01-2024,82,782108.62
649,2466,07-04-2024,60,27516
650,2568,17-06-2024,64,3501.44
651,477,22-11-2024,2,5551.5
652,225,14-01-2025,25,47771.25
653,3852,04-03-2024,83,365244.82
654,1293,30-04-2024,81,214284.69
655,3931,04-04-2024,99,19728.72
656,1314,03-05-2024,4,29100.36
657,2216,02-01-2025,85,412712.4
658,1304,06-04-2024,60,416048.4
659,918,25-03-2024,63,82700.73
660,2266,24-10-2024,33,10798.59
661,3235,03-05-2024,56,118662.88
662,2387,21-02-2024,60,36945.6
663,168,12-08-2024,72,484293.6
664,2434,06-02-2024,65,140925.85
665,1324,29-08-2024,35,40857.6
666,4716,28-09-2024,30,39456.3
667,3277,03-10-2024,78,486032.82
668,3301,21-12-2024,20,7193
669,1164,28-09-2024,82,33619.18
670,696,23-08-2024,80,307801.6
671,4255,04-02-2024,48,35234.4
672,2190,09-07-2024,52,262960.36
673,4465,07-01-2025,65,246599.6
674,3614,17-09-2024,78,88087.74
675,4625,17-08-2024,9,3073.68
676,977,08-03-2024,85,324620.95
677,4604,10-03-2024,9,11554.11
678,4463,27-06-2024,40,87648.4
679,2689,26-10-2024,51,62004.27
680,413,12-11-2024,76,176307.84
681,4367,26-03-2024,100,718839
682,3727,29-04-2024,22,1899.7
683,3563,26-04-2024,11,29241.63
684,1082,25-09-2024,47,219865.06
685,119,07-11-2024,47,165155.18
686,2463,26-03-2024,35,149471.7
687,3077,05-04-2024,74,383509.44
688,3200,27-12-2024,59,134894.65
689,665,15-06-2024,72,398400.48
690,2658,18-09-2024,75,199734
691,1602,13-07-2024,44,145844.16
692,234,14-04-2024,45,14760
693,4987,22-02-2024,64,133250.56
694,2811,21-05-2024,28,3611.72
695,4430,28-04-2024,63,17323.11
696,3570,09-02-2024,68,32614.84
697,44,04-06-2024,40,8232.4
698,1504,16-12-2024,25,7232.75
699,1172,16-02-2024,60,536291.4
700,2882,17-10-2024,100,452279
701,2070,30-07-2024,15,23564.4
702,932,18-06-2024,79,134951.75
703,4677,14-11-2024,93,30318.93
704,2493,12-11-2024,79,339594.14
705,3334,14-11-2024,51,99478.05
706,2734,23-03-2024,18,38523.96
707,3475,10-08-2024,33,123615.69
708,1756,28-01-2024,22,42813.54
709,2876,16-02-2024,15,5554.95
710,2346,15-06-2024,34,229485.38
711,1862,12-09-2024,44,11354.64
712,1,29-01-2024,21,4368.63
713,3370,01-05-2024,88,662994.64
714,723,08-06-2024,56,172775.68
715,3336,06-08-2024,30,134065.8
716,2765,01-04-2024,61,76027.96
717,4118,10-07-2024,29,10773.79
718,3329,23-09-2024,27,190811.16
719,3273,14-07-2024,18,67087.44
720,1213,13-03-2024,87,452781.06
721,1756,25-01-2024,79,153739.53
722,3428,02-11-2024,70,106306.9
723,2664,30-12-2024,67,176011.68
724,4804,25-06-2024,10,29307
725,2870,01-03-2024,21,151526.13
726,4462,21-04-2024,50,29703
727,3262,28-07-2024,53,360878.06
728,4317,07-11-2024,20,42190.6
729,1179,24-08-2024,38,50295.66
730,3878,29-02-2024,39,279172.53
731,484,13-09-2024,1,320.35
732,3022,03-02-2024,58,38224.9
733,4341,11-06-2024,41,171464.46
734,3342,30-03-2024,20,112130.8
735,4446,16-12-2024,52,18775.64
736,4150,19-08-2024,98,80906.84
737,1193,02-06-2024,8,29041.84
738,4640,27-12-2024,98,19327.56
739,1360,10-11-2024,49,25719.61
740,4999,20-11-2024,50,151205.5
741,184,10-06-2024,89,691921.6
742,3117,03-03-2024,62,196117.78
743,4238,10-01-2025,65,514668.7
744,3050,24-02-2024,87,191795.85
745,3855,05-08-2024,30,19047.3
746,36,22-12-2024,98,688501.94
